"","totalDelay"
"911",4.12310562561766
"912",6.78232998312527
"913",8.18535277187245
"914",15.1657508881031
"915",13.7113092008021
"916",NA
"917",8.12403840463596
"918",2.82842712474619
"919",3
"920",NA
"921",NA
"922",NA
"923",NA
"924",NA
"925",NA
"926",NA
"927",NA
"928",11.9582607431014
"929",NA
"930",NA
"931",3.60555127546399
"932",NA
"933",3.74165738677394
"934",1.73205080756888
"935",NA
"936",NA
"937",3.3166247903554
"938",NA
"939",NA
"940",NA
"941",0
"942",NA
"943",NA
"944",4.69041575982343
"945",NA
"946",8.48528137423857
"947",NA
"948",NA
"949",1
"950",2.44948974278318
"951",NA
"952",NA
"953",1.73205080756888
"954",NA
"955",NA
"956",NA
"957",NA
"958",2.64575131106459
"959",3.3166247903554
"960",NA
"961",NA
"962",NA
"963",NA
"964",NA
"965",NA
"966",NA
"967",3.3166247903554
"968",NA
"969",NA
"970",NA
"971",NA
"972",5.47722557505166
"973",NA
"974",NA
"975",NA
"976",4
"977",2.64575131106459
"978",3.74165738677394
"979",2.82842712474619
"980",11.3137084989848
"981",6.70820393249937
"982",5.56776436283002
"983",7.48331477354788
"984",NA
"985",NA
"986",NA
"987",0
"988",NA
"989",2.64575131106459
"990",NA
"991",NA
"992",4.58257569495584
"993",NA
"994",NA
"995",1
"996",7.81024967590665
"997",8.30662386291807
"998",NA
"999",NA
"1000",NA
"1001",NA
"1002",NA
"1003",NA
"1004",3.60555127546399
"1005",0
"1006",6.557438524302
"1007",NA
"1008",NA
"1009",15.8745078663875
"1010",NA
"1011",0
"1012",NA
"1013",NA
"1014",NA
"1015",NA
"1016",3.74165738677394
"1017",8.12403840463596
"1018",10.4403065089106
"1019",NA
"1020",NA
"1021",13
"1022",1.4142135623731
"1023",0
"1024",NA
"1025",3.87298334620742
"1026",NA
"1027",NA
"1028",2
"1029",NA
"1030",NA
"1031",2
"1032",NA
"1033",2
"1034",NA
"1035",1.73205080756888
"1036",NA
"1037",NA
"1038",NA
"1039",1.73205080756888
"1040",NA
"1041",2.82842712474619
"1042",NA
"1043",3.16227766016838
"1044",13.3416640641263
"1045",4.24264068711928
"1046",NA
"1047",4.24264068711928
"1048",2.64575131106459
"1049",5.3851648071345
"1050",NA
"1051",2.44948974278318
"1052",NA
"1053",7.21110255092798
"1054",8.83176086632785
"1055",2.82842712474619
"1056",NA
"1057",5.09901951359278
"1058",5.29150262212918
"1059",10.770329614269
"1060",1.73205080756888
"1061",NA
"1062",NA
"1063",NA
"1064",4.79583152331272
"1065",NA
"1066",NA
"1067",NA
"1068",NA
"1069",NA
"1070",15.9059737205869
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",16.6433169770932
"1076",2
"1077",9.64365076099295
"1078",NA
"1079",NA
"1080",1.4142135623731
"1081",NA
"1082",7.81024967590665
"1083",2.64575131106459
"1084",13.9283882771841
"1085",4.47213595499958
"1086",NA
"1087",NA
"1088",1.73205080756888
"1089",NA
"1090",NA
"1091",NA
"1092",NA
"1093",2.64575131106459
"1094",5.19615242270663
"1095",NA
"1096",NA
"1097",NA
"1098",NA
"1099",2.44948974278318
"1100",NA
"1101",3
"1102",2
"1103",NA
"1104",NA
"1105",NA
"1106",0
"1107",1.73205080756888
"1108",13.490737563232
"1109",5.47722557505166
"1110",NA
"1111",1.73205080756888
"1112",NA
"1113",11.4891252930761
"1114",8.77496438739212
"1115",6.6332495807108
"1116",NA
"1117",NA
"1118",NA
"1119",NA
"1120",NA
"1121",8.60232526704263
"1122",6.48074069840786
"1123",2.64575131106459
"1124",NA
"1125",6.557438524302
"1126",0
"1127",2.23606797749979
"1128",NA
"1129",10.8627804912002
"1130",2.82842712474619
"1131",2.23606797749979
"1132",4.79583152331272
"1133",2
"1134",6.6332495807108
"1135",NA
"1136",9.38083151964686
"1137",NA
"1138",1.73205080756888
"1139",NA
"1140",NA
"1141",6.16441400296898
"1142",3.74165738677394
"1143",14.7986485869487
"1144",12.369316876853
"1145",16.2480768092719
"1146",18.2756668824971
"1147",13.114877048604
"1148",NA
"1149",NA
"1150",NA
"1151",NA
"1152",NA
"1153",10.4403065089106
"1154",NA
"1155",NA
"1156",1.73205080756888
"1157",4.12310562561766
"1158",NA
"1159",NA
"1160",NA
"1161",4.24264068711928
"1162",11.8321595661992
"1163",NA
"1164",NA
"1165",7.61577310586391
"1166",3.16227766016838
"1167",NA
"1168",NA
"1169",3.3166247903554
"1170",NA
"1171",NA
"1172",NA
"1173",1.4142135623731
"1174",NA
"1175",NA
"1176",NA
"1177",5
"1178",5.91607978309962
"1179",NA
"1180",5.09901951359278
"1181",NA
"1182",NA
"1183",4
"1184",3.87298334620742
"1185",NA
"1186",NA
"1187",NA
"1188",NA
"1189",15.2970585407784
"1190",NA
"1191",NA
"1192",NA
"1193",NA
"1194",NA
"1195",3.74165738677394
"1196",NA
"1197",16.3707055437449
"1198",NA
"1199",18.7882942280559
"1200",NA
"1201",5.3851648071345
"1202",10.7238052947636
"1203",3.74165738677394
"1204",11.0453610171873
"1205",NA
"1206",6.40312423743285
"1207",NA
"1208",1.73205080756888
"1209",0
"1210",NA
"1211",NA
"1212",22.2036033111745
"1213",NA
"1214",NA
"1215",NA
"1216",NA
"1217",1
"1218",7.28010988928052
"1219",NA
"1220",NA
"1221",NA
"1222",7.87400787401181
"1223",12.0415945787923
"1224",4.24264068711928
"1225",13.3041346956501
"1226",1.4142135623731
"1227",NA
"1228",0
"1229",NA
"1230",3.46410161513775
"1231",7.61577310586391
"1232",NA
"1233",4.89897948556636
"1234",NA
"1235",10.3440804327886
"1236",4.69041575982343
"1237",NA
"1238",NA
"1239",NA
"1240",NA
"1241",NA
"1242",NA
"1243",NA
"1244",NA
"1245",NA
"1246",NA
"1247",NA
"1248",NA
"1249",NA
"1250",12.8062484748657
"1251",NA
"1252",NA
"1253",41.206795556073
"1254",NA
"1255",NA
"1256",NA
"1257",4.35889894354067
"1258",NA
"1259",NA
"1260",8.30662386291807
"1261",18.1934053986603
"1262",NA
"1263",NA
"1264",NA
"1265",NA
"1266",NA
"1267",4.47213595499958
"1268",NA
"1269",NA
"1270",NA
"1271",9.4339811320566
"1272",NA
"1273",NA
"1274",NA
"1275",NA
"1276",NA
"1277",1
"1278",NA
"1279",NA
"1280",1.4142135623731
"1281",4
"1282",NA
"1283",NA
"1284",3.16227766016838
"1285",5.3851648071345
"1286",NA
"1287",NA
"1288",NA
"1289",1
"1290",NA
"1291",9.69535971483266
"1292",NA
"1293",11.5325625946708
"1294",NA
"1295",NA
"1296",3.3166247903554
"1297",3.46410161513775
"1298",NA
"1299",7.21110255092798
"1300",6.16441400296898
"1301",9.69535971483266
"1302",8.48528137423857
"1303",NA
"1304",5.19615242270663
"1305",3.60555127546399
"1306",NA
"1307",NA
"1308",NA
"1309",NA
"1310",NA
"1311",NA
"1312",2.44948974278318
"1313",NA
"1314",NA
"1315",6.85565460040104
"1316",NA
"1317",NA
"1318",9
"1319",1
"1320",NA
"1321",NA
"1322",NA
"1323",2.82842712474619
"1324",2
"1325",5.3851648071345
"1326",NA
"1327",8.06225774829855
"1328",3.16227766016838
"1329",NA
"1330",1.4142135623731
"1331",10.816653826392
"1332",NA
"1333",NA
"1334",NA
"1335",NA
"1336",5.47722557505166
"1337",NA
"1338",NA
"1339",NA
"1340",NA
"1341",19.157244060668
"1342",NA
"1343",NA
"1344",2
"1345",4.24264068711928
"1346",1.4142135623731
"1347",5.8309518948453
"1348",2.23606797749979
"1349",NA
"1350",NA
"1351",NA
"1352",NA
"1353",NA
"1354",4.12310562561766
"1355",2.44948974278318
"1356",3.16227766016838
"1357",NA
"1358",5.09901951359278
"1359",4
"1360",NA
"1361",1.4142135623731
"1362",NA
"1363",NA
"1364",1.73205080756888
"1365",NA
"1366",NA
"1367",NA
"1368",NA
"1369",14.560219778561
"1370",6.70820393249937
"1371",NA
"1372",2
"1373",4.69041575982343
"1374",NA
"1375",NA
"1376",7.87400787401181
"1377",NA
"1378",NA
"1379",11.5758369027902
"1380",9.89949493661167
"1381",NA
"1382",NA
"1383",6.6332495807108
"1384",NA
"1385",NA
"1386",2.82842712474619
"1387",NA
"1388",NA
"1389",2
"1390",NA
"1391",NA
"1392",2.64575131106459
"1393",2.23606797749979
"1394",5.65685424949238
"1395",12.4899959967968
"1396",12.6885775404495
"1397",2.82842712474619
"1398",NA
"1399",4.12310562561766
"1400",2.82842712474619
"1401",NA
"1402",NA
"1403",5.74456264653803
"1404",NA
"1405",NA
"1406",0
"1407",2.23606797749979
"1408",1.4142135623731
"1409",4
"1410",4
"1411",13.5646599662505
"1412",NA
"1413",10.8627804912002
"1414",NA
"1415",NA
"1416",NA
"1417",NA
"1418",11.5758369027902
"1419",NA
"1420",11.4017542509914
"1421",3.87298334620742
"1422",NA
"1423",NA
"1424",NA
"1425",1
"1426",8.66025403784439
"1427",0
"1428",NA
"1429",7.41619848709566
"1430",NA
"1431",17.0293863659264
"1432",NA
"1433",NA
"1434",4.47213595499958
"1435",NA
"1436",2
"1437",2.23606797749979
"1438",NA
"1439",0
"1440",NA
"1441",5.19615242270663
"1442",NA
"1443",0
"1444",NA
"1445",NA
"1446",NA
"1447",3
"1448",NA
"1449",4.47213595499958
"1450",6.32455532033676
"1451",2.23606797749979
"1452",5.65685424949238
"1453",2.23606797749979
"1454",26.6082693913001
"1455",7.07106781186548
"1456",6.70820393249937
"1457",NA
"1458",NA
"1459",NA
"1460",0
"1461",2.82842712474619
"1462",2.23606797749979
"1463",8.66025403784439
"1464",NA
"1465",6.92820323027551
"1466",NA
"1467",2.23606797749979
"1468",3.74165738677394
"1469",NA
"1470",4.47213595499958
"1471",0
"1472",9.21954445729289
"1473",NA
"1474",9.38083151964686
"1475",NA
"1476",5.91607978309962
"1477",6.32455532033676
"1478",NA
"1479",2.23606797749979
"1480",NA
"1481",NA
"1482",NA
"1483",NA
"1484",NA
"1485",NA
"1486",NA
"1487",NA
"1488",NA
"1489",NA
"1490",7.54983443527075
"1491",NA
"1492",NA
"1493",NA
"1494",NA
"1495",2.23606797749979
"1496",3
"1497",NA
"1498",NA
"1499",2.64575131106459
"1500",6.557438524302
"1501",2.82842712474619
"1502",5.19615242270663
"1503",7.41619848709566
"1504",NA
"1505",NA
"1506",NA
"1507",3.60555127546399
"1508",2.64575131106459
"1509",2.64575131106459
"1510",NA
"1511",0
"1512",NA
"1513",13.6381816969859
"1514",NA
"1515",2.82842712474619
"1516",NA
"1517",NA
"1518",0
"1519",2.64575131106459
"1520",NA
"1521",11.3578166916005
"1522",1
"1523",NA
"1524",NA
"1525",NA
"1526",7.54983443527075
"1527",3.3166247903554
"1528",6.08276253029822
"1529",NA
"1530",NA
"1531",NA
"1532",NA
"1533",3
"1534",1
"1535",4.69041575982343
"1536",4.58257569495584
"1537",0
"1538",NA
"1539",20.2731349327133
"1540",NA
"1541",6.48074069840786
"1542",NA
"1543",NA
"1544",6.16441400296898
"1545",0
"1546",NA
"1547",7.41619848709566
"1548",NA
"1549",NA
"1550",5.91607978309962
"1551",NA
"1552",1.4142135623731
"1553",NA
"1554",NA
"1555",NA
"1556",NA
"1557",NA
"1558",NA
"1559",NA
"1560",NA
"1561",7.93725393319377
"1562",0
"1563",NA
"1564",NA
"1565",NA
"1566",1.4142135623731
"1567",11.7898261225516
"1568",1
"1569",6.40312423743285
"1570",NA
"1571",7.28010988928052
"1572",1.73205080756888
"1573",5.65685424949238
"1574",NA
"1575",7.48331477354788
"1576",14.9331845230681
"1577",6.16441400296898
"1578",NA
"1579",9.2736184954957
"1580",10.6301458127346
"1581",14.422205101856
"1582",NA
"1583",NA
"1584",NA
"1585",9.48683298050514
"1586",2.44948974278318
"1587",NA
"1588",5.74456264653803
"1589",5.47722557505166
"1590",5.09901951359278
"1591",NA
"1592",14.8660687473185
"1593",4.47213595499958
"1594",2
"1595",0
"1596",8.18535277187245
"1597",NA
"1598",16.1554944214035
"1599",1.73205080756888
"1600",NA
"1601",8.18535277187245
"1602",NA
"1603",4.47213595499958
"1604",NA
"1605",1
"1606",NA
"1607",NA
"1608",NA
"1609",12.7671453348037
"1610",NA
"1611",4.12310562561766
"1612",9.53939201416946
